"지점","평규모","층수","주소"
"강남1호점","355","5","강남구 역삼로3길 19"
"강남2호점","800","6","강남구 강남대로 364"
"강남3호점","1,200","4","서초구 서초대로 398"
"강남4호점","1,070","7","강남구 강남대로 94길 10"
"강남5호점","1,450","8","강남구 테헤란로 2길 27"
"강남구청1호점","425","6","강남구 학동로45길 3"
"강남구청2호점","408","3","강남구 학동로 318"
"광화문점","300","2","종로구 청계천로 11"
"교대점","300","2","서초구 반포대로30길 81"
"구로점","990","2","구로구 디지털로 300"
"당산점","146","7","영등포구 양평로 95"
"동대문점","676","3","동대문구 천호대로 2"
"마곡나루점","999","2","강서구 마곡중앙로 143 타워B"
"마곡점","278","4","강서구 공항대로 337"
"반포점","100","1","서초구 서초중앙로 217"
"사당점","359","5","관악구 남현3길 61"
"삼성1호점","240","1","강남구 테헤란로 87길 36"
"삼성2호점","1,200","6","강남구 테헤란로 501"
"삼성3호점","1,500","10","강남구 테헤란로 503"
"삼성4호점","300","6","강남구 영동대로 106길 11"
"서울숲점","1,800","11","성동구 왕십리로 125"
"서울역점","1,306","5","용산구 한강대로 366"
"서초1호점","150","3","서초구 남부순환로333길 10"
"서초2호점","360","5","서초구 서초중앙로2길 35"
"서초썸머버드점","620","11","서초구 효령로55길 19"
"선릉2호점","600","15","강남구 테헤란로 242"
"선릉3호점","70","1","강남구 선릉로93길 54"
"선릉4호점","","",""
"선릉5호점","682","15","강남구 테헤란로77길 11-15"
"선릉센트럴점","","",""
"선정릉점","32","1","강남구 봉은사로 314"
"성수1호점","1,800","11","성동구 아차산로 68"
"성수2호점","617","7","성동구 성수일로8길 55"
"성수연무장점","350","2","뚝섬로17가길 49"
"송도센트럴점","720","2","인천시 연수구 인천타워대로 185"
"시청1호점","1,100","10","중구 남대문로9길 24"
"시청2호점","365","1","중구 서소문로 89-20"
"신논현1호점","800","4","강남구 강남대로 464"
"신논현2호점","781","6","강남구 강남대로 484"
"신사점","700","7","강남구 도산대로 145"
"신사콜렉티브점","255","6","강남구 도산대로17길 19"
"압구정점","594","9","강남구 논현로152길 15"
"언주점","398","","총 8개 층 강남구 역삼동 689-2"
"여의도점","608","4","영등포구 국제금융로2길 17"
"역삼1호점","200","2","강남구 역삼로 17길 51"
"역삼2호점","200","2","강남구 테헤란로 146"
"역삼3호점","970","5","강남구 테헤란로 151"
"역삼4호점","171","5","강남구 테헤란로 25길 46"
"영등포점","300","1","영등포구 영중로15 타임스퀘어 20층"
"용산점","312","1","용산구 서빙고로 17"
"을지로1호점","1,400","3","중구 청계천로 100"
"을지로2호점","340","1","중구 삼일대로 343"
"을지로입구점","360","3","중구 남대문로7길 16"
"충무로점","160","4","중구 퇴계로30길 14"
"판교점","731","1","경기 성남 분당구 대왕판교로 660"
"학동1호점","450","7","강남구 언주로125길 4"
"학동2호점","160","2","강남구 언주로 622"
"학동3호점","280","8","강남구 논현로134길 12"
"한남점","559","5","용산구 이태원로 200"
"합정1호점","1,103","4","마포구 양화로 81"
"합정2호점","89","7","마포구 잔다리로7길 3"
"홍대1호점","410","4","마포구 양화로 161"
"홍대3호점","225","5","마포구 와우산로 125"
"홍대아트살롱점","275","5","마포구 홍익로5안길 28"
